Gemeente;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2020_opmerkingen;2021;2021_opmerkingen;2022;2022_opmerkingen;2023;2023_opmerkingen;2024;2024_opmerkingen;2025;2025_opmerkingen;2026;2026_opmerkingen
Heuvelland;1850;1850;1850;1850;1850;1850;1850;1850;1850;1850;1164;1164;1215;;1215;;1215;;1215;;1215;;1215;;1215;
Hoegaarden;1250;1250;1250;1250;1250;1250;1250;1250;1250;1250;787;787;787;;787;;787;;787;;787;;787;;900;
Hoeilaart;1000;1000;1000;950;950;950;1100;1100;1100;1100;693;693;693;;693;;693;;693;;693;;693;;693;
Hoeselt (t/m 2024);1450;1450;1450;1450;1450;1450;1450;1450;1450;1450;913;913;913;;913;;913;;913;;913;;;;;
Holsbeek;1300;1300;1300;1300;1300;1300;1300;1300;1300;1300;818,64;818,64;818,64;;818,64;;818,64;;818,64;;818,64;;818,64;;818,64;
Hooglede;1600;1600;1600;1600;1600;1800;1800;1800;1800;1800;1133;1133;1133;;1133;;1133;;1133;;1133;;1133;;1133;5 categorieën: 1133 / 1200 / 1300 / 1350 / 1400
Hoogstraten;1400;1400;1400;1400;1400;1400;1400;1400;1400;1400;881,61;881,61;881,61;;881,61;;881,61;;881,61;;881,61;;881,61;;950;
Horebeke;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;755;755;755;;755;;755;;755;;755;;755;;980;
Houthalen-Helchteren;1475;1475;1475;1475;1475;1475;1475;1475;1475;1475;929;929;929;;929;;929;;929;;929;;929;;929;
Houthulst;1975;1975;1975;1975;1975;1975;1975;1975;1975;1975;1244;1244;1244;;1244;;1244;;1244;;1244;;1244;;1244;
Hove;1450;1450;1450;1450;1450;1450;1450;1450;1395;1395;878;878;878;;878;;878;;861;;861;;861;;861;
Huldenberg;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;630;630;630;;630;;630;;630;;630;;630;;630;
